State,Year,Quater,metric_amount,metric_count,metric_type
sikkim,2020,3,163225093.14147198,57672,north district
sikkim,2020,4,292804584.22659683,130339,south district
sikkim,2020,4,245657098.12953633,95163,west district
sikkim,2020,4,1129627876.1171591,428732,east district
sikkim,2020,4,251186246.6496318,80801,north district
sikkim,2020,1,138401236.4081525,82456,south district
sikkim,2020,1,100981561.51060593,49913,west district
sikkim,2020,1,729478141.5689781,360279,east district
sikkim,2020,1,84615332.45666516,35470,north district
sikkim,2021,2,344012187.23706484,157530,south district
sikkim,2021,2,248942844.2100811,102322,west district
sikkim,2021,2,1575867390.7924504,635504,east district
sikkim,2021,2,256077157.4357005,81358,north district
sikkim,2021,3,416609481.70282745,188063,south district
sikkim,2021,3,312940476.16548187,116665,west district
sikkim,2021,3,1937906268.9017417,757493,east district
sikkim,2021,3,321880637.03834116,98373,north district
sikkim,2021,4,546711693.4617904,238464,south district
sikkim,2021,4,436365769.14490384,146397,west district
sikkim,2021,4,2791933180.3838186,1071092,east district
sikkim,2021,4,421772618.6452949,128392,north district
sikkim,2021,1,310128541.24028677,127233,south district
sikkim,2021,1,254432217.49525508,88532,west district
sikkim,2021,1,1432658383.1323361,516158,east district
sikkim,2021,1,220448584.97284672,68266,north district
sikkim,2018,2,27651617.534535274,16740,south district
sikkim,2018,2,19368446.48352459,10671,west district
sikkim,2018,2,83823658.19224699,40432,east district
sikkim,2018,2,12849363.319488723,6735,north district
sikkim,2018,3,40036375.9623436,24662,south district
sikkim,2018,3,33797876.56771384,14121,west district
sikkim,2018,3,133322127.02823457,59571,east district
sikkim,2018,3,27923847.395025603,10146,north district
sikkim,2018,4,60113689.048481904,34495,south district
sikkim,2018,4,51859359.64770544,19567,west district
sikkim,2018,4,216960325.35148895,84485,east district
sikkim,2018,4,54207984.03057738,15986,north district
sikkim,2018,1,16098282.748140384,11355,south district
sikkim,2018,1,7468491.334182342,4845,west district
sikkim,2018,1,35907388.054869555,24432,east district
sikkim,2018,1,5176776.803176152,3446,north district
sikkim,2023,2,1313893353.0,866355,south district
sikkim,2023,2,1009668241.0,468073,west district
sikkim,2023,2,5266694395.0,2681672,east district
sikkim,2023,2,990094447.0,396867,north district
sikkim,2023,3,1367211496.0,981509,south district
sikkim,2023,3,961549678.0,518786,west district
sikkim,2023,3,4826863273.0,2877345,east district
sikkim,2023,3,951612974.0,427297,north district
sikkim,2023,1,1130114141.0,686864,south district
sikkim,2023,1,853504549.0,368967,west district
sikkim,2023,1,4070142377.0,2050840,east district
sikkim,2023,1,708806955.0,289457,north district
sikkim,2022,2,756330708.2028978,391808,south district
sikkim,2022,2,578171483.8935819,215921,west district
sikkim,2022,2,3736097005.542384,1540255,east district
sikkim,2022,2,540506472.6682708,174097,north district
sikkim,2022,3,760409362.3196087,406488,south district
sikkim,2022,3,503543689.90772784,204845,west district
sikkim,2022,3,3375012613.0491495,1604446,east district
sikkim,2022,3,523914878.6149709,180979,north district
sikkim,2022,4,731151545.284701,410951,south district
sikkim,2022,4,569473212.1510196,222875,west district
sikkim,2022,4,4615052808.218626,2227237,east district
sikkim,2022,4,542707823.7654651,197276,north district
sikkim,2022,1,619438912.3531296,281076,south district
sikkim,2022,1,468296204.3106276,165446,west district
sikkim,2022,1,2887894588.7435055,1173942,east district
sikkim,2022,1,391801570.4561584,123838,north district
sikkim,2019,2,82937894.82004634,45712,south district
sikkim,2019,2,63325567.8423853,26024,west district
sikkim,2019,2,538259507.8024242,297652,east district
sikkim,2019,2,54371272.971085116,18856,north district
sikkim,2019,3,106415589.26391001,61142,south district
sikkim,2019,3,66514136.575647816,33550,west district
sikkim,2019,3,643298304.6767757,429201,east district
sikkim,2019,3,68488417.92409426,28543,north district
sikkim,2019,4,121803196.14604722,73099,south district
sikkim,2019,4,92445262.76900172,43955,west district
sikkim,2019,4,877636921.1534436,616761,east district
sikkim,2019,4,84624221.58772576,33255,north district
sikkim,2019,1,76869333.72007152,47506,south district
sikkim,2019,1,46329216.02416058,21489,west district
sikkim,2019,1,291845617.9832262,155482,east district
sikkim,2019,1,42949466.656635895,15810,north district
haryana,2020,2,1269799998.4387665,645364,yamunanagar district
haryana,2020,2,5016220638.103821,2067865,sonipat district
haryana,2020,2,2194774577.812515,791601,jind district
haryana,2020,2,5946541938.965281,2050920,rohtak district
haryana,2020,2,8177450074.37961,5775792,faridabad district
haryana,2020,2,2503496877.6459007,1152066,mahendragarh district
haryana,2020,2,4146210408.4450903,1644838,hisar district
haryana,2020,2,4045109843.2026005,1629574,karnal district
haryana,2020,2,1312791083.1632023,533673,fatehabad district
haryana,2020,2,3788124543.124005,2090627,palwal district
haryana,2020,2,834008663.4588814,301953,charkhi dadri district
haryana,2020,2,2154410296.002072,1016809,ambala district
haryana,2020,2,3582603328.500936,2022132,rewari district
haryana,2020,2,1199233109.3167996,619625,panchkula district
haryana,2020,2,2795033053.460747,973720,bhiwani district
haryana,2020,2,1811788465.1291971,759835,sirsa district
haryana,2020,2,3658746771.705061,1598705,mewat district
haryana,2020,2,5207544726.945988,2011582,panipat district
haryana,2020,2,14426170120.903454,11284856,gurugram district
haryana,2020,2,1619967939.1519618,583834,kaithal district
haryana,2020,2,2346620365.2637324,978542,kurukshetra district
haryana,2020,2,2674618100.8210006,1247137,jhajjar district
haryana,2020,3,1615787281.7710702,763343,yamunanagar district
haryana,2020,3,7024743099.006162,2922945,sonipat district
haryana,2020,3,2533560699.496646,893421,jind district
haryana,2020,3,4643691557.73987,1740356,rohtak district
haryana,2020,3,13490214442.585878,8700173,faridabad district
haryana,2020,3,3179331732.079674,1444047,mahendragarh district
haryana,2020,3,5761605477.767698,2209518,hisar district
haryana,2020,3,4578348863.2612,1955755,karnal district
haryana,2020,3,1615396730.667015,623907,fatehabad district
haryana,2020,3,4869775358.80177,2672871,palwal district
haryana,2020,3,1030013843.4751177,356875,charkhi dadri district
haryana,2020,3,3610359386.4637203,1529567,ambala district
haryana,2020,3,5346067429.247877,3041169,rewari district
haryana,2020,3,1612924042.149621,802938,panchkula district
haryana,2020,3,3304152585.3724966,1151218,bhiwani district
haryana,2020,3,2219962582.3281684,907337,sirsa district
haryana,2020,3,5099537212.926384,2107221,mewat district
haryana,2020,3,5809998640.786768,2334545,panipat district
haryana,2020,3,23437360421.862156,18098421,gurugram district
haryana,2020,3,1932756087.885961,679617,kaithal district
haryana,2020,3,3113702590.4685006,1320433,kurukshetra district
haryana,2020,3,3738660379.586417,1682502,jhajjar district
haryana,2020,4,2410444772.0000343,1077956,yamunanagar district
haryana,2020,4,9010603701.960873,3721622,sonipat district
haryana,2020,4,3898130378.6098533,1272317,jind district
haryana,2020,4,6256117815.679721,2331057,rohtak district
haryana,2020,4,19603646063.147858,12149079,faridabad district
haryana,2020,4,5132014525.594752,2071830,mahendragarh district
haryana,2020,4,8738948858.681063,3190398,hisar district
haryana,2020,4,6152410695.701475,2527301,karnal district
haryana,2020,4,2561718838.438777,929917,fatehabad district
haryana,2020,4,7333424919.068589,3692902,palwal district
haryana,2020,4,1591959232.8183222,516694,charkhi dadri district
haryana,2020,4,4518807087.52457,1935671,ambala district
haryana,2020,4,8169865745.127572,4329508,rewari district
haryana,2020,4,2225317959.4937544,1120856,panchkula district
haryana,2020,4,5280654023.625282,1703541,bhiwani district
haryana,2020,4,3492793677.7845526,1289154,sirsa district
haryana,2020,4,7484819524.783331,2948645,mewat district
haryana,2020,4,7874714735.936349,3059943,panipat district
haryana,2020,4,35629614077.0103,28192581,gurugram district
haryana,2020,4,2945844252.9955387,959377,kaithal district
haryana,2020,4,4141680049.095256,1721950,kurukshetra district
haryana,2020,4,5544973431.463554,2429140,jhajjar district
haryana,2020,1,1172835685.667386,558348,yamunanagar district
haryana,2020,1,5091258326.483329,2016893,sonipat district
haryana,2020,1,2305447628.745496,792514,jind district
haryana,2020,1,5175066327.070365,1803076,rohtak district
haryana,2020,1,8881105700.091959,5840117,faridabad district
haryana,2020,1,1774232508.9539132,812720,mahendragarh district
haryana,2020,1,3820470010.45599,1533724,hisar district
haryana,2020,1,4003478768.7248425,1579733,karnal district
haryana,2020,1,1074164856.9302568,438880,fatehabad district
haryana,2020,1,3109146806.57809,1613263,palwal district
