State,Year,Quater,Entity_Name,Metric_Amount,Metric_Count
haryana,2020,2,121004,2078331203.7373283,1431346
haryana,2020,2,122006,2300931577.314651,1319926
haryana,2020,2,121003,1587793505.5677106,1307232
haryana,2020,2,132103,3645484786.66008,1224161
haryana,2020,2,121102,1815882007.778651,1063421
haryana,2020,2,122002,1060760817.6803432,1052364
haryana,2020,2,131001,2903593989.492062,1038150
haryana,2020,2,121001,1395961307.3787785,910818
haryana,2020,3,122001,3736046139.5409055,2750040
haryana,2020,3,121004,3228620246.4514713,2053928
haryana,2020,3,122006,3394885969.826559,1981736
haryana,2020,3,121003,2309907147.949795,1700050
haryana,2020,3,122051,1695575689.0567956,1555592
haryana,2020,3,122002,1612712258.6504383,1489017
haryana,2020,3,131001,3915627781.899307,1480219
haryana,2020,3,121102,2449818178.4902806,1415060
haryana,2020,3,121001,2303315107.9209466,1384943
haryana,2020,3,121002,2400460565.4784913,1337518
haryana,2020,4,122001,5577129263.803511,4178803
haryana,2020,4,122006,4657968623.146901,2942150
haryana,2020,4,121004,4900191241.973782,2927164
haryana,2020,4,122002,2626648950.0504613,2505152
haryana,2020,4,121003,3461817063.8688326,2423115
haryana,2020,4,122051,2493078126.41251,2218449
haryana,2020,4,121001,3435441720.027669,1991396
haryana,2020,4,121102,3709174657.0512877,1973371
haryana,2020,4,122004,2080395784.3369126,1817807
haryana,2020,4,121002,2966290678.7202406,1658861
haryana,2020,1,122001,3354781267.9480944,2518796
haryana,2020,1,122002,2090009620.3531978,1915654
haryana,2020,1,122006,2914095032.706275,1598872
haryana,2020,1,124001,4143138709.6008005,1380556
haryana,2020,1,121004,2101900964.468028,1349793
haryana,2020,1,122016,1255223100.2102506,1268953
haryana,2020,1,121003,1698759221.6396737,1226004
haryana,2020,1,122003,1314632822.859527,1219398
haryana,2020,1,131001,3223842730.7914,1108960
haryana,2020,1,132103,3197522433.722085,1090760
haryana,2021,2,122006,7207055202.820196,4878161
haryana,2021,2,122001,5990609149.360931,4510890
haryana,2021,2,121004,5951646115.000153,3536549
haryana,2021,2,131001,7142977788.24599,3226708
haryana,2021,2,132103,6591490589.111272,2964087
haryana,2021,2,121003,3870478646.555489,2729292
haryana,2021,2,121002,4653748858.8404045,2541633
haryana,2021,2,122002,2621052083.8195753,2505416
haryana,2021,2,121102,4742370912.036514,2504049
haryana,2021,2,122051,2354510241.669946,2397445
haryana,2021,3,122006,10108307756.719585,7079111
haryana,2021,3,122001,8208514096.35167,6524981
haryana,2021,3,121004,7214596983.5858555,4619156
haryana,2021,3,122002,4174634956.2762547,4074015
haryana,2021,3,131001,7592853759.9011755,3824548
haryana,2021,3,132103,7722135884.656666,3807660
haryana,2021,3,121002,6542235321.477936,3597233
haryana,2021,3,121003,4834797646.706048,3532991
haryana,2021,3,122051,3173407234.1611395,3316258
haryana,2021,3,122004,3239557328.444209,3271428
haryana,2021,4,122006,12446013625.324087,8243097
haryana,2021,4,122001,10006718311.566921,7654460
haryana,2021,4,121004,9216385931.59724,5636431
haryana,2021,4,122002,5436208624.384323,5095560
haryana,2021,4,132103,9837178139.119781,4535161
haryana,2021,4,131001,9400470033.415104,4476485
haryana,2021,4,121002,8127531272.098031,4231254
haryana,2021,4,121003,6034510670.847743,4230317
haryana,2021,4,121102,7117844489.156973,3930826
haryana,2021,4,122004,3979661447.5418015,3857198
haryana,2021,1,122001,5997258111.473646,4506450
haryana,2021,1,122006,6151670724.079081,4132251
haryana,2021,1,121004,5144005309.059652,3059147
haryana,2021,1,122002,3010145443.6006365,2906323
haryana,2021,1,121003,3588296954.9753823,2477817
haryana,2021,1,131001,5452061577.840082,2348900
haryana,2021,1,122051,2478450893.984387,2288699
haryana,2021,1,121002,3877830476.041177,2134162
haryana,2021,1,122004,2329110399.0921006,2040904
haryana,2021,1,121001,3551904219.5367737,2038073
haryana,2018,2,122006,691480831.8004122,371438
haryana,2018,2,122001,514731354.174217,262684
haryana,2018,2,122051,266390779.8519504,160606
haryana,2018,2,122002,339532002.2969342,153438
haryana,2018,2,121004,220212475.75836295,136727
haryana,2018,2,121008,224837881.84669778,122917
haryana,2018,2,121003,201500615.63492683,122508
haryana,2018,2,122004,185267179.18462908,119955
haryana,2018,2,122016,214560096.63941285,117838
haryana,2018,2,124001,226416189.28992113,99005
haryana,2018,3,122006,857203811.0603806,517657
haryana,2018,3,122001,749061449.0431736,411984
haryana,2018,3,122002,483746044.5584421,261912
haryana,2018,3,122051,379695985.8156146,220903
haryana,2018,3,121004,317188533.3803125,190648
haryana,2018,3,121003,292496276.8923502,185305
haryana,2018,3,122016,298978870.02390015,178090
haryana,2018,3,121008,274820322.7130353,167114
haryana,2018,3,121001,269844404.78730685,166380
haryana,2018,3,122004,259589993.34955308,161872
haryana,2018,4,122001,1148743178.0424545,694431
haryana,2018,4,122006,1394479164.459892,668486
haryana,2018,4,121001,480043693.7631273,455463
haryana,2018,4,122002,711326593.8976194,452206
haryana,2018,4,121004,549162202.9242527,399918
haryana,2018,4,121003,492239352.95115876,386737
haryana,2018,4,122051,584037252.0297179,352201
haryana,2018,4,122016,445338384.79740095,312023
haryana,2018,4,121005,294522346.8924086,269715
haryana,2018,4,122004,407569713.3937744,267571
haryana,2018,1,122006,497159951.36888236,328965
haryana,2018,1,122001,316977079.5953678,181309
haryana,2018,1,122051,177386117.4944107,125513
haryana,2018,1,121004,138495399.9352557,100740
haryana,2018,1,122002,205984533.53854018,99921
haryana,2018,1,121008,150995888.95033914,97586
haryana,2018,1,121003,125957155.00619048,96271
haryana,2018,1,122004,113585852.93917108,89526
haryana,2018,1,122016,135881032.7456196,85989
haryana,2018,1,121001,117861713.17230153,68083
haryana,2023,2,122001,26812160057.0,24907002
haryana,2023,2,122002,16160206563.0,17622968
haryana,2023,2,121004,22905929430.0,17449013
haryana,2023,2,121003,14350392287.0,12219099
haryana,2023,2,122004,10297238616.0,12094043
haryana,2023,2,122003,10940336410.0,11510953
haryana,2023,2,121102,16971067322.0,11462412
haryana,2023,2,122006,13745157503.0,11101618
haryana,2023,2,121001,14489429407.0,9874516
haryana,2023,2,122051,7944420455.0,9700977
haryana,2023,3,122001,29190465429.0,28508989
